Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point,Comp %,Pass Yards / Att,Pass Yards / Gm,Passer Rating,Pass Att / Sack,Pass TDs / Gm,Opp Comp %,Opp Pass Yards / Att,Opp Pass Yards / Gm,Opp Passer Rating,Opp Pass Att / Sack,Opp Pass TDs / Gm,% of Plays as Rush,% of Yards from Rush,Rush Att / Gm,Rush Yards / Gm,Rush Yards / Att,Rush TDs / Gm,Opp % of Plays as Rush,Opp % of Yards from Rush,Opp Rush Att / Gm,Opp Rush Yards / Gm,Opp Rush Yards / Att,Opp Rush TDs / Gm,% of Poss w/ 20+ Yard TD,FG %,% of Poss w/ Pts,Poss w/ TDs,Pts / Poss,Pts / Gm,Opp % of Poss w/ 20+ Yard TD,Opp FG %,Opp % of Poss w/ Pts,Opp Poss w/ TDs,Opp Pts / Poss,Opp Pts / Gm,Poss / Gm,Plays / Gm,Plays / Poss,Plays / Min,Avg TOP (min),Avg Drive Time (min),Opp Poss / Gm,Opp Plays / Gm,Opp Plays / Poss,Opp Plays / Min,Opp Avg TOP (min),Opp Avg Drive Time (min),Off % of Passes w/ INT,Off % of Plays w/ TO,Off % of Poss w/ TOs,Def % of Passes w/ INT,Def % of Plays w/ TO,Def % of Poss w/ TOs,Def-Off Poss TO % Margin
Ball State,MAC,0.3636,0.1885,104,1.89,81,3.51,117,2.23,62,2.34,52,0.4715,63,67.67,32.4,21.93,1.15,22.92,14.12,68.69,50.33,34.58,1.63,38.93,12.13,61.24,6.15,189,125.75,8.6,1.64,63.33,7.84,256.64,147.68,22.82,2.27,54.93,36.79,37.45,110,2.94,0.73,55.33,44.08,40.55,202.27,4.99,2.27,4,69.23,23.33,17.33,1.55,21.18,10.27,69.23,40.41,34.25,2.85,37.82,13.64,68.18,5,2.23,30.61,2.24,13.27,73.27,5.52,2.49,30.61,2.21,2.37,2,10,2.22,2.23,12.33,2.33
Baylor,Big 12,0.4545,0.3372,81,1.88,82,2.5,65,2.48,15,2.27,36,0.5537,15,63.59,37.41,23.79,1.27,32.62,14.82,70.96,39.06,27.72,1.43,29.08,14.29,56.63,5.84,208,110.48,16.68,1.18,51.28,6.1,216.27,106.16,19.57,1.27,49.55,34.57,35,109.91,3.14,0.91,52.9,42.78,39.82,161.73,4.06,1.91,4.08,69.57,26.53,15.65,1.61,21.45,6,73.68,32.67,23.33,1.94,26.45,13.36,70.64,5.29,2.39,29.56,2.21,13.64,75.27,5.52,2.47,29.56,2.23,3.06,3.09,16.33,4.1,3.5,19.33,3.01
Boise State,MWC,0.6923,0.6062,29,2.64,29,2.2,36,2.17,74,2.66,103,0.3813,93,66.65,47.91,31.93,1.6,39.63,11.78,69.2,38.58,26.7,1.24,27.5,15.16,57.95,7.42,222.46,127.42,21.53,1.54,54.76,6.75,261.77,125.82,14.26,2.38,58.95,47.65,43.08,202.46,4.7,2.77,45.51,29.19,32.38,107.92,3.33,0.69,5.2,60,35.84,32.37,2.71,36.08,11.11,81.25,29.44,22.22,1.76,24.38,13.31,73.08,5.49,2.41,30.35,2.28,13.85,71.15,5.14,2.4,30.35,2.14,4.87,3.58,19.65,2.98,2.81,14.44,-5.21
Boston College,ACC,0.75,0.6729,18,2.21,62,1.63,7,2.33,43,2.29,41,0.5101,44,69.99,43.17,30.21,1.54,33.79,15.01,69.57,35.84,24.93,1.33,26.71,19.58,62.5,7,242.75,129.04,27.84,1.42,60.89,6.21,220.83,115.6,12.54,0.83,51.91,37.4,37.42,145,3.88,1.75,49.59,29.14,35,90.83,2.6,0.5,5.84,61.11,31.82,24.68,2.01,25.83,2.67,75,20.67,10.67,1.27,15.92,12.83,72.08,5.62,2.46,29.26,2.28,12.5,70.58,5.65,2.3,29.26,2.46,2.88,2.54,14.29,2.58,2.13,12,-2.29
Bowling Green,MAC,0.5455,0.4192,68,2.6,34,2.98,103,2.01,104,2.72,113,0.3284,105,67.99,47.08,32.01,1.66,38.85,12.65,68.47,42.06,28.8,1.42,28.36,13.74,60.58,7.6,283.91,142.34,19.68,2.64,59.03,7.27,204.91,128.95,15.09,1.64,50.42,33.62,38,143.82,3.78,1.73,60.21,46.02,42.64,174.73,4.1,1.82,5.44,55.56,36.05,32.65,2.53,33.82,7.59,66.67,30.34,26.21,2.1,27.64,13.36,75.36,5.64,2.57,29.36,2.2,13.18,70.82,5.37,2.31,29.36,2.32,2.68,2.17,12.24,5.16,3.34,17.93,5.69
Buffalo,MAC,0.0909,0.0859,116,0.96,119,2.6,77,2.06,99,2.67,105,0.3499,100,72.67,28.79,20.92,1.03,18.06,27.95,63.56,41.91,26.64,1.25,31.65,12.22,57.7,5.67,170.55,103.23,8.88,0.64,55.06,6.04,173.64,123.11,18.56,2,55.33,38.99,37.27,109,2.92,0.64,57.7,52.2,39.18,189.64,4.84,1.45,2.04,30.77,12.24,9.52,0.75,10,7.33,73.68,34.67,25.33,2.18,29.73,13.36,67.36,5.04,2.14,31.53,2.36,13.64,67.91,4.98,2.39,31.53,2.09,4.53,3.51,17.69,2.85,1.61,8,-9.69
California,Pac 12,0.6667,0.6018,30,2.62,32,2.2,35,2.45,21,2.78,116,0.4252,76,68.31,46.12,31.5,1.42,29.37,13,71.79,36.43,26.15,1.24,25.48,16.99,52.02,7.2,192.67,124.55,14.96,1.83,56.04,6.34,240.42,112.87,15.22,1.17,60.07,54.98,40.25,235.25,5.84,2.25,48.47,33.14,35.67,119.17,3.34,1.25,12.27,56.25,35.58,30.06,2.42,32.92,4.85,72.22,25.45,17.58,1.54,21.17,13.58,67,4.93,2.27,29.54,2.17,13.75,73.58,5.35,2.42,29.54,2.22,5.3,3.36,16.56,3.3,2.38,12.73,-3.84
Central Michigan,MAC,0.5455,0.4272,67,1.98,75,2.24,41,2.24,59,2.62,94,0.4087,80,69.33,42.61,29.54,1.38,25.69,17.72,67.37,41.02,27.64,1.3,30.56,16.69,60.8,6.72,260.09,126.79,20.36,1.45,57.47,7.1,280.73,132.39,16,2.27,50.47,37.91,39.45,158.82,4.03,1.36,46.95,28.83,35,113.73,3.25,0.55,7.69,52.63,26.28,19.87,1.67,23.64,8.28,62.5,29.3,19.75,1.66,23.64,14.18,78.18,5.51,2.53,30.94,2.18,14.27,74.55,5.22,2.57,30.94,2.04,1.41,1.16,6.41,1.84,1.83,9.55,3.14
Cincinnati,BE,0.3636,0.1939,103,1.69,95,3.08,108,2.38,36,2.18,26,0.5502,21,72.3,33.13,23.95,1.33,18.44,18.59,66.22,45.38,30.05,1.44,37.23,12.81,56.61,6.32,199.91,116.44,10.41,1.36,57.5,7.61,221.27,131.46,14.33,1.27,55.04,38.39,38.73,124.55,3.22,0.91,58.66,44.91,41.27,180.36,4.37,2.45,5.37,44.44,19.46,16.78,1.29,17.45,6.8,84.21,38.78,27.89,2.35,31.36,13.55,70.36,5.19,2.36,29.87,2.2,13.36,70.36,5.27,2.33,29.87,2.25,3.74,3.23,16.78,2.19,2.33,12.24,-4.53
Clemson,ACC,0.6667,0.6314,24,2.36,49,1.88,20,2.16,76,2.3,43,0.4624,64,69.36,45.26,31.39,1.56,35,14.6,68.07,38.23,26.02,1.31,25.71,18,65.78,7.37,231.58,134.65,17.39,1.17,56.57,6.31,196,110.88,12.3,0.83,54.41,39.78,37.5,153,4.08,1.67,53.61,38.09,35.92,120.58,3.36,1,4.76,77.42,39.46,23.13,2.15,26.33,4.11,77.27,26.71,15.07,1.45,17.58,12.25,68.92,5.63,2.25,30.63,2.5,12.17,67,5.51,2.28,30.63,2.41,2.65,1.81,10.2,3.75,2.86,15.75,5.55
