Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point,Comp %,Pass Yards / Att,Pass Yards / Gm,Passer Rating,Pass Att / Sack,Pass TDs / Gm,Opp Comp %,Opp Pass Yards / Att,Opp Pass Yards / Gm,Opp Passer Rating,Opp Pass Att / Sack,Opp Pass TDs / Gm,% of Plays as Rush,% of Yards from Rush,Rush Att / Gm,Rush Yards / Gm,Rush Yards / Att,Rush TDs / Gm,Opp % of Plays as Rush,Opp % of Yards from Rush,Opp Rush Att / Gm,Opp Rush Yards / Gm,Opp Rush Yards / Att,Opp Rush TDs / Gm,% of Poss w/ 20+ Yard TD,FG %,% of Poss w/ Pts,Poss w/ TDs,Pts / Poss,Pts / Gm,Opp % of Poss w/ 20+ Yard TD,Opp FG %,Opp % of Poss w/ Pts,Opp Poss w/ TDs,Opp Pts / Poss,Opp Pts / Gm,Poss / Gm,Plays / Gm,Plays / Poss,Plays / Min,Avg TOP (min),Avg Drive Time (min),Opp Poss / Gm,Opp Plays / Gm,Opp Plays / Poss,Opp Plays / Min,Opp Avg TOP (min),Opp Avg Drive Time (min),Off % of Passes w/ INT,Off % of Plays w/ TO,Off % of Poss w/ TOs,Def % of Passes w/ INT,Def % of Plays w/ TO,Def % of Poss w/ TOs,Def-Off Poss TO % Margin
Fresno State,MWC,0.6154,0.6571,21,2.81,18,2.13,33,2.44,24,2.65,99,0.4528,69,62.97,55.88,35.18,1.71,46.53,11.25,72.29,38.04,27.5,1.36,26.17,15.45,63.02,7.87,260.31,145.48,31.71,2.38,59.01,6.37,198.38,121.1,12.74,1.23,52.54,38.74,36.62,164.62,4.5,1.92,53.18,42.82,35.38,148.54,4.2,1.62,8.28,80.95,46.5,35.67,3.13,37.77,9.15,75,29.88,22.56,1.78,22.46,12.08,69.69,5.77,2.23,31.31,2.59,12.62,66.54,5.27,2.32,31.31,2.27,3.72,2.65,15.29,2.22,2.31,12.2,-3.09
Georgia,SEC,0.7692,0.7631,10,2.74,20,1.67,9,2.32,44,2.15,16,0.5442,26,66.42,48.45,32.18,1.51,35.66,13.24,74.94,33.77,25.31,1.34,20.65,19.13,55.37,8.2,229,144.04,18.71,2,57.18,5.98,169.62,105.86,11.54,0.62,55.62,41.46,35,162.15,4.63,1.23,56.84,45.89,37.38,143.85,3.85,1.31,9.49,76.67,41.14,26.58,2.43,29.54,3.73,75,21.12,15.53,1.32,16.38,12.15,62.92,5.18,2.2,28.61,2.35,12.38,65.77,5.31,2.1,28.61,2.53,1.93,2.2,11.39,4.34,3.39,18.01,6.62
Georgia Tech,ACC,0.5833,0.5063,46,1.97,76,1.95,21,2.31,49,2.02,1,0.5766,8,71.32,35.16,25.08,1.29,24.07,18.86,68.77,33.18,22.81,1.12,20.13,15.81,47.13,5.61,195.25,97.95,42.8,1,53.39,6.67,213.58,112.26,11.67,1.33,52.61,44.05,38.67,153.75,3.98,1.08,51.58,32.73,34.08,103.92,3.05,0.75,2.99,52.38,21.56,14.97,1.33,18.5,4.79,88.24,23.95,14.97,1.44,20.08,13.92,73.5,5.28,2.31,31.82,2.29,13.92,66.08,4.75,2.35,31.82,2.02,2.87,2.15,11.38,5.47,3.53,16.77,5.39
Hawai'i,MWC,0.4167,0.4413,65,2.64,31,2.91,98,2.37,38,2.59,89,0.4465,72,72.94,52.93,38.61,1.87,42.22,15.53,68.94,52.99,36.53,1.77,41.09,12.29,65.57,7.98,384.25,148.52,16.21,3.08,62.11,7.92,250.83,145.62,16.2,2.08,32.56,19.3,23.25,91.92,3.95,0.92,55.92,42.79,40.17,187.58,4.67,2.33,8.78,66.67,39.19,32.43,2.49,30.67,10.42,80,42.36,36.81,2.97,35.67,12.33,71.42,5.79,2.39,29.9,2.42,12,71.83,5.99,2.39,29.9,2.51,2.6,2.8,16.22,2.37,2.44,14.58,-1.63
Houston,AAC,0.5,0.4482,62,2.35,50,2.57,73,2.15,79,2.55,80,0.399,85,69.19,46.97,32.5,1.57,32.89,15.62,66.19,44.75,29.62,1.44,33.11,14.72,60.43,7.74,272.33,133.23,16.63,1.58,52.77,6.37,220.17,117.16,26.15,1.75,53.06,37.93,39.75,166.42,4.19,1.92,52.57,44.6,38.33,177.25,4.62,1,8.02,59.09,33.95,25.93,2.08,28.08,6.21,62.5,32.92,20.5,2.01,27,13.5,74.92,5.55,2.54,29.53,2.19,13.42,72.92,5.43,2.39,29.53,2.27,3.55,3.11,17.28,2.89,2.74,14.91,-2.38
Idaho,Indy,0.1818,0.1646,107,1.69,93,3.36,114,2.03,102,2.78,115,0.3214,109,71.24,33.01,23.52,1.15,23.18,15.19,65.3,44.89,29.31,1.32,34.75,11.05,56.5,6.69,257.27,116.98,13.63,1.55,59.54,7.56,237.73,137.45,18.3,2.09,45.28,23.35,31.82,78.36,2.46,0.73,54.65,43.53,37.91,183.27,4.83,2.27,3.82,84.21,26.11,15.92,1.55,22.09,10.76,63.16,37.97,30.38,2.65,38.09,14.27,70.27,4.92,2.28,30.83,2.16,14.36,69.36,4.83,2.38,30.83,2.03,4.49,3.62,17.83,3.76,2.88,13.92,-3.91
Illinois,Big 10,0.1818,0.1285,112,1.53,102,3.43,115,2.39,34,2.41,57,0.4966,51,74.21,37.28,27.67,1.45,24.09,20.86,66.12,57.41,37.96,1.83,45.83,11.87,59.84,5.82,196.45,111.89,12.59,1.09,66.02,8.38,235.27,162.62,31.9,2.45,54.14,44.6,39.82,158.18,3.97,0.82,60.38,49.86,42.82,234,5.46,2.45,2.84,65,24.11,14.89,1.33,17,11.76,58.82,47.06,39.71,3.2,39.55,12.82,73.55,5.74,2.51,29.27,2.28,12.36,70.91,5.74,2.31,29.27,2.49,3.77,2.35,13.48,1.29,1.03,5.88,-7.59
Indiana,Big 10,0.3636,0.2078,102,1.77,90,3.11,109,2.42,27,2.39,54,0.5084,46,70.52,35.77,25.22,1.3,28.28,15.56,66.45,45.79,30.43,1.4,30.88,12.73,55.33,6,219.64,117.41,16.21,2.18,55.15,7.4,202.55,128.02,16.05,1.27,51.33,37.39,38.64,131.18,3.4,0.82,61.01,51.51,42.82,215.18,5.03,2.55,5.23,50,23.53,21.57,1.62,22.55,9.93,75,35.76,27.81,2.39,32.82,13.91,75.27,5.41,2.46,30.59,2.2,13.73,70.18,5.11,2.39,30.59,2.14,3.97,3.02,16.34,2.33,2.2,11.26,-5.08
Iowa,Big 10,0.5833,0.7032,16,2.51,36,1.74,14,2.44,23,2.49,63,0.4884,54,69.54,48.77,33.92,1.67,32.61,14.41,74.28,40.94,30.41,1.6,24.31,19.13,60.64,7.66,257.75,139.78,23.44,1.92,62.02,6.92,256.67,129.02,19.16,1.5,51.9,40.39,36.33,174.67,4.81,1.58,51.37,32.93,39.17,126,3.22,0.83,9.8,80.95,38.56,27.45,2.35,30,4.64,42.86,22.52,18.54,1.59,20,12.75,70,5.49,2.53,27.71,2.17,12.58,76.25,6.06,2.36,27.71,2.57,1.98,2.02,11.11,2.25,1.75,10.6,-0.52
Iowa State,Big 12,0.5833,0.5289,44,2.12,67,2.02,26,2.24,57,2.28,39,0.4893,52,64.79,39.32,25.48,1.25,33.76,12.4,71.18,35.46,25.24,1.31,22.29,18,61.68,7.82,239.67,138.94,10.95,1.58,57.4,6.52,242.33,111.18,17.52,1,57.16,31.59,40.92,110.67,2.7,1.67,48.14,29.76,34.5,102.67,2.98,0.83,4.85,70,32.12,23.64,2.05,28.25,4.27,81.82,24.39,13.41,1.4,19.17,13.75,71.58,5.21,2.26,31.7,2.31,13.67,71.67,5.24,2.53,31.7,2.07,2.72,2.44,12.73,4.93,4.07,21.34,8.61
Kansas,Big 12,0.5833,0.4117,71,1.71,92,1.98,23,2.48,17,2.25,33,0.5579,13,67.91,34.27,23.27,1.11,25.77,14.71,72.04,30.07,21.66,1.11,19.62,13.78,53.28,5.93,195.67,104.33,19.86,1.08,56.67,6.29,220,118.04,15,1.67,51.77,40.65,35.42,134,3.78,1.25,49.64,27.45,34.5,83.25,2.41,0.67,4.12,70,24.71,16.47,1.58,22.42,5.95,66.67,22.62,16.67,1.57,22,14.17,68.42,4.83,2.3,29.7,2.1,14,69.5,4.96,2.29,29.7,2.16,4.8,3.53,17.06,3.57,2.52,12.5,-4.56
Kansas State,Big 12,0.4545,0.4559,61,2.33,51,2.51,67,2.17,73,2.33,51,0.4572,67,69.86,34.29,23.96,1.08,23.61,12.93,67.2,35.88,24.11,1.07,25.49,12.96,51.57,6.97,201.36,118.1,13.23,1.36,55.61,6.78,230.55,124.18,18.81,1.64,57.6,40.73,39.27,138.36,3.52,1.45,51.74,35.86,36.45,128.91,3.54,1.73,7.69,61.11,26.92,19.87,1.85,26.27,6.71,75,29.88,22.56,1.86,27.73,14.18,68.18,4.81,2.24,30.39,2.14,14.91,70.45,4.73,2.38,30.39,1.99,3.77,3.73,17.95,2.14,2.84,13.41,-4.53
Kent State,MAC,0.0909,0.1218,113,1.23,115,2.83,87,2.2,66,2.68,107,0.3849,90,71.36,27.82,19.85,0.98,16.67,17.32,64.91,42.44,27.55,1.36,38.67,13.07,56.1,5.59,237.45,104.26,17.68,1.36,60.69,6.59,190.64,124.1,16.14,1.36,37.82,16.2,25.82,45.91,1.78,0.45,62.41,51.51,48,202.55,4.22,2.18,4.46,72.73,17.83,12.74,1.15,16.36,4.46,66.67,31.21,24.84,2.11,30.09,14.27,68.27,4.78,2.65,25.78,1.81,14.27,76.91,5.39,2.25,25.78,2.4,4.71,4.13,19.75,3.77,2.36,12.74,-7.01
Kentucky,SEC,0.2727,0.2455,95,2,73,3.2,113,2.24,58,2.19,27,0.5143,43,66.69,35.55,23.71,1.2,33.83,13.69,66.46,52.71,35.04,1.7,41.41,12.89,58.55,6.11,168.82,110.46,10.21,0.55,62.24,6.97,243.27,138.8,24.27,2.18,56.26,43.25,35.55,128.64,3.62,1.91,53.34,44.65,39.91,196.27,4.92,2,3.62,80,28.26,19.57,1.73,21.73,7.25,60,42.03,33.33,2.72,34.09,12.55,63.18,5.04,2.3,27.42,2.19,12.55,74.82,5.96,2.3,27.42,2.6,2.96,3.6,18.12,1.3,1.94,11.59,-6.52
LSU,SEC,0.8462,0.732,14,2.47,40,1.62,6,2.23,63,2.05,4,0.5508,20,68.24,42.17,28.78,1.4,28.66,12.7,72.22,28.25,20.41,0.97,19.14,18.75,60,8.09,224,142.56,15.69,1.69,47.33,5.29,175.31,96.3,12.34,0.92,58.57,40.12,39.15,150.08,3.83,1.62,48.26,34.3,30.92,91.54,2.96,0.62,7.1,58.33,33.73,25.44,2.27,29.46,4.71,52,19.41,11.76,1.09,14.23,13,66.85,5.14,2.12,31.53,2.43,13.08,64.08,4.9,2.25,31.53,2.18,2.78,2.65,13.61,2.32,1.68,8.24,-5.37
Louisiana Tech,C-USA,0.6364,0.4612,58,2.18,65,2.32,50,2,106,2.7,109,0.3296,104,64.32,42.08,27.07,1.38,38.13,12.76,70.29,40.59,28.53,1.4,30.5,14.93,53.93,6.77,219.09,121.87,15.24,1.64,57.04,6.86,248.09,122.35,19.95,1.73,54.59,40.24,38.91,147.55,3.79,1.73,48.97,34.93,34.73,133.18,3.84,1.27,6.71,69.23,36.91,24.83,2.12,28.73,4.08,75,30.61,22.45,1.91,25.55,13.55,71.27,5.26,2.26,31.49,2.32,13.36,70.91,5.31,2.49,31.49,2.13,2.81,2.3,12.08,4.02,3.97,21.09,9.01
Louisiana-Lafayette,Sun Belt,0.5455,0.2667,88,1.81,86,2.77,86,1.9,110,2.6,91,0.3227,107,70.7,45.57,32.22,1.61,35.66,14.87,66.04,46.78,30.89,1.64,35,13.41,57.38,6.14,132.36,105.57,27.33,0.27,58.02,7.14,190.18,137.55,13.21,1.91,69.14,65.77,48.27,254.27,5.27,3.09,60.3,48.7,40.45,180.55,4.46,1.91,2.27,63.64,33.33,28.03,2.17,26,9.09,30.77,34.85,31.82,2.3,27.64,12,69.82,5.82,2.21,31.63,2.64,12,67.09,5.59,2.36,31.63,2.36,3.8,2.73,15.91,2.05,2.3,12.88,-3.03
Louisiana-Monroe,Sun Belt,0.4545,0.2099,101,1.66,96,2.91,96,1.74,117,2.53,71,0.2916,117,70.61,37.99,26.83,1.4,22.96,16.16,68.6,44.58,30.58,1.55,34.33,12.99,53.58,5.71,210.18,106.69,51.63,1.18,58.06,7.46,210.27,125.74,19.24,1.36,49.81,40.15,36.55,141,3.86,1.55,59.32,47.48,41.09,190.09,4.63,2.18,6.25,50,25.69,20.83,1.66,21.73,6.94,68.42,36.11,27.08,2.35,30.82,13.09,73.36,5.6,2.36,31.12,2.38,13.09,69.27,5.29,2.4,31.12,2.21,2.72,3.1,17.36,5.48,3.41,18.06,0.69
Louisville,BE,0.75,0.7129,15,3.59,3,2.45,58,2.04,101,2.28,38,0.4346,74,64.06,57.89,37.08,1.7,48.57,11.1,69.57,35.82,24.92,1.28,25.85,13.64,65.43,9.37,293.58,159.88,15.75,2,54.22,6.87,210,121.38,9.07,1.33,55.66,39.1,39.33,188.5,4.79,3.42,55.62,35.19,38.33,114,2.97,1.33,10.26,87.5,50.64,41.67,3.34,43.42,5.77,80,28.21,20.51,1.83,23.75,13,70.67,5.44,2.44,28.94,2.23,13,68.92,5.3,2.22,28.94,2.39,2.66,2.59,14.1,2.45,3.39,17.95,3.85
Marshall,C-USA,0.3636,0.2208,98,1.49,105,2.53,69,2.19,69,2.5,65,0.4223,77,67.85,38.48,26.11,1.46,29.41,17.92,69.62,38.13,26.55,1.32,27.82,13.13,56.02,5.54,205.09,105.43,20.38,1.09,56.18,7.35,178.45,127.26,12.87,1.18,47.89,38.28,34,127.18,3.74,1.18,62.71,47.56,40.82,161.82,3.96,1.55,2.86,47.06,23.57,17.86,1.46,18.55,5.67,82.61,34.75,21.28,2.02,25.91,12.73,71,5.58,2.35,30.24,2.38,12.82,65.09,5.08,2.19,30.24,2.32,3.44,3.2,17.86,3.37,2.65,13.48,-4.38
Maryland,ACC,0.4545,0.5153,45,2.51,37,2.44,56,2.31,48,2.13,13,0.5476,25,68.32,45.79,31.28,1.65,37.01,15.64,70.56,40.18,28.35,1.3,28.36,14.02,59.83,7.81,249.09,129.82,12.32,1.36,61.31,7.42,184.82,121.89,14.05,0.36,55.17,35.12,39.27,134.82,3.43,1.45,62.62,47.28,41.73,165.73,3.97,2.18,5.93,68,35.56,22.96,2,24.55,1.47,75,29.41,20.59,2.02,25,12.27,71.18,5.8,2.36,30.1,2.45,12.36,66.64,5.39,2.23,30.1,2.42,4.84,3.19,18.52,3.28,2.73,14.71,-3.81
Memphis,AAC,0.5833,0.4151,70,1.93,78,2.23,39,2.1,90,2.48,62,0.4034,82,69.81,44.13,30.81,1.41,31.03,14.65,71.9,45.11,32.43,1.54,29.85,17.63,56.49,6.53,130,117.88,27.56,0.75,54.99,7.79,279.83,132.48,20.59,1.92,71.41,67.33,49.75,267.92,5.39,2.33,49.29,30.98,34.92,125.58,3.6,0.83,6.45,88,38.06,23.87,2.1,27.17,10.67,80,32.67,22,1.84,23,12.92,69.67,5.39,2.3,30.33,2.35,12.5,70.83,5.67,2.39,30.33,2.37,2.93,1.79,9.68,2.78,2.59,14.67,4.99
Miami (Florida),ACC,0.75,0.7328,13,2.38,47,1.56,5,2.15,78,2.19,28,0.4889,53,63.16,40.66,25.68,1.19,32.26,13.04,73.34,26.46,19.41,1.01,17.18,18.95,57.35,7.61,215.5,133.6,10.44,1.67,46.61,5.16,152.17,89.49,11.11,0.67,56.85,38.97,37.33,137.58,3.69,1.5,57.25,43.66,39.5,117.92,2.99,0.92,6.06,75,32.12,23.03,1.97,27.08,2.4,57.14,18.56,11.38,1.02,14.25,13.75,65.67,4.78,2.31,28.47,2.07,13.92,69,4.96,2.19,28.47,2.27,3.53,2.92,13.94,3.95,3.38,16.77,2.83
Miami (Ohio),MAC,0.6364,0.5794,35,2.73,21,2.38,53,1.79,115,2.59,88,0.2942,114,64.52,47.74,30.8,1.57,41.78,12.62,70.3,35.29,24.81,1.21,25,14.81,57.08,7.21,291.64,131.36,25.72,2.45,58.42,6.21,207.82,114.08,17,1.45,48.07,31.48,37.45,134,3.58,1.36,50.4,40.17,34,139.55,4.1,1.45,3.95,70.37,40.13,27.63,2.44,33.73,6.49,75,26.62,20.78,1.68,23.45,13.82,77.91,5.64,2.46,31.66,2.29,14,67.45,4.82,2.38,31.66,2.02,3.15,2.57,14.47,5.43,4.72,22.73,8.25
Michigan,Big 10,0.5833,0.6568,22,2.27,55,1.73,11,2.7,7,2.28,37,0.599,4,63.52,46.84,29.75,1.55,39.46,13.37,72.85,35.99,26.22,1.31,24.67,16.98,58.19,6.53,222.67,127.71,18.78,1.92,57.03,6.38,207.83,116.29,16.04,1.17,54.96,42.05,41.58,161.58,3.89,1.33,52.38,39.79,35.83,137.33,3.83,1,5.16,74.07,38.06,25.16,2.23,28.75,5.06,69.57,26.58,16.46,1.54,20.33,12.92,75.67,5.86,2.41,31.38,2.43,13.17,68.42,5.2,2.39,31.38,2.17,1.96,1.98,11.61,3.07,2.8,14.56,2.94
Michigan State,Big 10,0.4545,0.5822,34,2.96,12,2.58,74,2.46,18,2.44,59,0.5055,48,69.61,57.36,39.93,1.98,46.4,14.7,71.57,45.61,32.64,1.62,32.28,14.26,66.14,8.53,295.45,151.76,15.65,2.18,60.58,7.13,244.91,138.04,24.63,2.27,54.32,40.59,41.18,201.82,4.9,2,51.23,40.2,36.09,164.64,4.56,1.36,8.76,31.25,37.23,33.58,2.72,33.82,7.97,55.56,32.61,28.99,2.29,28.73,12.45,75.82,6.09,2.43,31.25,2.51,12.55,70.45,5.62,2.45,31.25,2.29,3.41,2.4,14.6,2.12,2.45,13.77,-0.83
Middle Tennessee,C-USA,0.3636,0.3295,82,1.51,104,2.04,28,1.73,118,2.5,66,0.2944,113,68.56,38.25,26.22,1.36,30.65,16.11,69.54,41.53,28.88,1.47,28.57,17.81,65.82,6.91,198.45,128.82,9.66,0.82,58.05,6.61,197.82,116.13,20.35,1,57.58,35.47,39,109.09,2.8,1.64,53.79,40.68,34.82,135.64,3.9,1.18,3.88,43.75,26.36,20.93,1.63,19.09,0.79,53.33,25.2,18.9,1.62,18.73,11.73,67.73,5.78,2.18,31.05,2.65,11.55,64.73,5.61,2.24,31.05,2.51,2.22,1.61,9.3,4.26,2.53,14.17,4.87
Minnesota,Big 10,0.5833,0.667,20,3.34,5,2.49,62,2.41,29,2.2,29,0.5532,16,69.15,57.62,39.85,1.83,42.42,13.84,71.15,47.35,33.69,1.61,35.29,14.23,57.28,8.24,221.67,140.69,81.75,1.67,56.83,7.52,257.08,131.42,28.33,1.58,65.38,55.2,50.83,273.08,5.37,2.83,51.07,37.7,35.67,155.58,4.36,1.75,11.41,70,45.64,36.24,2.88,35.75,7.48,65,36.05,27.21,2.37,29,12.42,77.75,6.26,2.49,31.25,2.52,12.25,69.83,5.7,2.43,31.25,2.35,3.1,1.71,10.74,1.95,1.79,10.2,-0.53
Mississippi,SEC,0.2727,0.2559,92,1.42,106,2.23,40,2.08,91,2.17,22,0.4749,62,70.91,30.78,21.82,1.04,19.12,20.94,66.61,40.1,26.71,1.45,27.69,14.93,53.1,6.18,208.45,103.32,15.84,0.82,56.59,6.34,179.36,118.76,17.81,1.09,47.23,26.01,30.18,73.27,2.43,0.55,59.51,46.08,41.55,153.27,3.69,1.36,4.23,50,17.61,10.56,1.04,13.45,5.11,57.89,27.74,19.71,1.79,22.27,12.91,63.91,4.95,2.25,28.46,2.2,12.45,69.82,5.61,2.21,28.46,2.53,4.85,3.41,16.9,1.93,2.47,13.87,-3.03
Mississippi State,SEC,0.2727,0.2515,93,1.39,108,2.19,34,2.27,54,2.17,20,0.5272,39,71.72,30.47,21.86,1.09,19.7,19.86,67.74,40.35,27.33,1.44,30.23,14.25,48.34,5.05,138.55,95.04,9.51,0.91,61.39,6.79,195,124.39,11.53,1.18,56.04,49.84,35,137.64,3.93,0.82,56.95,41.87,38,140.45,3.7,1.18,5.04,58.33,18.71,13.67,1.1,13.91,4.44,64.71,27.41,19.26,1.92,23.55,12.64,62.45,4.94,2.2,28.41,2.25,12.27,66.73,5.44,2.11,28.41,2.57,3.31,2.91,14.39,3.8,3,16.3,1.91
Missouri,SEC,0.5833,0.4763,53,2.75,19,2.86,92,2.08,93,2.23,31,0.4597,65,71.62,43.12,30.88,1.53,28.03,13.98,66.92,38.4,25.7,1.27,30.67,12.63,59.06,5.74,224.5,113.18,30.31,1.25,56.59,6.73,217,121.74,14.12,1.5,52.19,47.76,42.67,205.25,4.81,2.17,55.05,41.09,39.5,151.33,3.83,1.92,5.99,70,32.93,24.55,2.21,30.75,5.23,70.59,30.81,23.84,2.03,29.17,13.92,81.75,5.87,2.83,28.89,2.08,14.33,71.75,5.01,2.31,28.89,2.17,2.35,2.55,14.97,3.36,2.79,13.95,-1.02
Navy,Indy,0.6667,0.5399,40,2.72,22,2.54,70,1.94,108,2.82,118,0.2931,115,68.95,55.77,38.46,1.85,43.1,12.76,69.08,47.16,32.58,1.81,36.64,14.47,46.94,9.51,116.5,126.21,9.17,0.58,62.98,7.38,222.75,136.8,12.68,1.58,82.05,73.27,56,319.33,5.7,3.75,57.36,40.97,40.58,154.58,3.81,1.58,14.71,75,44.85,38.24,3.01,34.17,5.76,73.68,37.41,27.34,2.25,26.08,11.33,68.25,6.02,2.33,29.27,2.58,11.58,70.75,6.11,2.3,29.27,2.65,8.16,2.69,16.18,2.76,1.88,11.51,-4.67
Nebraska,Big 12,0.6667,0.6235,26,2.3,52,1.86,19,2.32,46,2.17,21,0.5376,31,65.83,34.76,22.88,1.16,28.13,12.99,70.28,32.78,23.04,1.13,26.06,15.82,53.83,6.06,224.33,113.77,13.33,1.67,51.08,6.01,207.92,105.66,9.3,1.08,48.61,29.97,35,96,2.74,0.83,52.52,37.41,38.25,124.25,3.25,1.17,4.76,82.61,29.17,17.86,1.76,24.67,4.62,52,23.12,15.61,1.46,21,14,72,5.14,2.41,29.94,2.14,14.42,72.83,5.05,2.42,29.94,2.09,2.93,2.78,14.29,3.13,2.52,12.72,-1.57
Nevada,MWC,0.75,0.4003,72,2.48,39,2.94,100,2.02,103,2.8,117,0.3141,111,69.14,48.74,33.7,1.76,41.89,13.15,68.63,45.44,31.18,1.5,35,12.86,61.33,7.38,249.83,135.01,14.1,1.75,55.94,7.38,269.33,135.5,16.1,2.5,56.9,44.4,44.67,199.5,4.47,2.42,47.17,34.4,32.58,141.25,4.34,1.33,7.5,80,38.75,31.25,2.56,34.17,11.39,75,36.71,29.11,2.42,31.92,13.33,78.5,5.89,2.36,33.2,2.49,13.17,69.08,5.25,2.58,33.2,2.04,2.71,2.44,14.38,2.51,2.77,14.56,0.18
New Mexico,MWC,0.5455,0.3635,76,2.29,53,2.91,95,2.15,80,2.68,106,0.3716,95,69.16,42.99,29.73,1.52,32.61,13.41,69.45,41.78,29.01,1.33,29.1,12.95,60.13,6.98,197.36,127.38,16.95,1.45,57.37,7.5,254.27,130.01,11.22,1.82,62.89,50.33,47.91,200,4.17,2.09,50.73,33.97,34.91,130.82,3.75,1.64,6.12,86.67,35.37,26.53,2.22,29.64,8.22,68.75,33.56,26.03,2.24,29.73,13.36,76.18,5.7,2.33,32.67,2.44,13.27,68.82,5.18,2.52,32.67,2.06,4.18,2.51,14.29,4.02,2.64,13.7,-0.59
New Mexico State,Indy,0,0.061,119,1.09,118,3.46,116,2.18,71,2.66,102,0.3852,89,74.01,33.44,24.75,1.23,22.98,20.87,61.8,58.29,36.03,1.81,52.67,12.4,56.67,5.84,266,107.9,12.76,1.42,62.07,7.8,264,148.55,46.11,2.5,38.81,22.77,28.92,78.42,2.71,0.67,56.67,45.04,44.25,216.33,4.89,2.17,3.59,50,18.56,14.97,1.19,16.5,6.25,61.29,46.88,35,2.91,38.75,13.92,74.5,5.35,2.86,26.05,1.87,13.33,78.08,5.86,2.3,26.05,2.55,4.02,4.25,22.75,1.72,1.6,9.38,-13.38
North Carolina,ACC,0.4545,0.3105,86,1.62,98,2.27,46,2.4,33,2.1,9,0.5781,7,71.72,33.86,24.29,1.24,22.3,17.54,66.77,38.87,25.95,1.31,30.71,13.34,51.4,6.62,214.27,108.62,12.13,0.82,57.62,7.08,211,123.43,11.93,1.18,53.1,32.13,36.64,101.45,2.77,0.91,56.96,39.57,39.45,138.18,3.5,1.91,2.8,52.38,20.98,13.29,1.38,18,5.41,66.67,29.73,22.97,1.95,26.18,13,69,5.31,2.24,30.75,2.37,13.45,69.27,5.15,2.37,30.75,2.17,3.37,2.77,14.69,3.35,2.62,13.51,-1.17
North Carolina State,ACC,0.5833,0.57,36,1.96,77,1.74,13,2.2,67,2.05,5,0.5431,27,67.46,32.72,22.08,0.98,23.6,15.16,69.11,32.21,22.26,1.14,28.3,16.91,54.63,6.81,190.17,117.28,10.57,1.17,48.68,6.05,191.5,101.32,10.05,0.83,56.77,39.55,36.67,124.42,3.39,1.08,54.82,35.88,38.42,107.17,2.79,0.92,5.85,75,24.56,15.79,1.46,20.75,1.24,54.55,20.5,13.04,1.32,17.67,14.25,64.58,4.53,2.23,29.02,2.04,13.42,70.08,5.22,2.26,29.02,2.31,4.18,3.1,14.04,3.42,2.85,14.91,0.87
North Texas,C-USA,0.1818,0.0841,117,1.12,117,3.07,107,1.88,112,2.49,64,0.3396,101,70.77,29.97,21.21,0.96,15.56,19.05,66.61,50.99,33.96,1.61,40.46,13.94,48.56,5.12,129.27,92.86,14.24,0.82,62.55,8.63,215.73,145.76,17.18,1.36,59.3,52.46,36.82,142.64,3.87,0.73,64.7,50.8,45.82,222.73,4.86,2.36,4.26,50,17.73,12.06,1.11,14.27,7.75,55.56,39.44,28.87,2.44,31.45,12.82,62.09,4.84,2.23,27.82,2.17,12.91,70.82,5.49,2.2,27.82,2.49,4.68,3.07,14.89,3.64,2.7,14.79,-0.1
Northern Illinois,MAC,0.5833,0.5869,32,2.47,43,2.13,32,2.13,85,2.58,84,0.3897,87,68.9,48.95,33.73,1.5,32.39,13.7,68.12,42.04,28.64,1.55,29.73,16.2,67.95,8.45,237.42,156.53,14.48,2,57.21,6,222,116.77,24.37,1.58,58.65,46.54,39.83,206.67,5.19,2.33,50.56,39.99,37.83,147.92,3.91,1.08,10.13,69.23,38.61,32.91,2.46,32.42,4.52,63.64,29.68,20.65,1.77,22.83,13.17,67.92,5.16,2.3,29.57,2.25,12.92,74.83,5.79,2.46,29.57,2.36,2.97,2.7,13.92,2.48,2.34,13.55,-0.38
Northwestern,Big 10,0.5833,0.4394,66,2.69,24,2.98,102,2.52,12,2.3,45,0.5531,17,72.41,51.18,37.06,1.84,41.83,15.47,67.22,54.28,36.49,1.82,39.04,14.16,62.5,7.19,306.75,133.56,47.55,1.83,58.12,7.41,262.33,126.45,36.42,1.67,47.43,38.69,38.5,193.58,5.03,2.08,54.25,45.39,42,218.08,5.19,2.17,5.56,54.55,36.42,29.01,2.4,32.33,7.59,75,38.61,29.11,2.58,33.92,13.5,81.17,6.01,2.74,29.66,2.2,13.17,77.42,5.88,2.55,29.66,2.3,1.76,2.16,12.96,4.71,3.23,18.99,6.02
